"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000134323",4967.48062012532,3.17089672589182,0.184642799846484,17.1731404015113,4.21959894996068e-66,7.5661628771745e-62,"MYCN"
"ENSG00000205670",534.94374228318,3.74079839713109,0.372254043651572,10.0490470444223,9.27600681555747e-24,8.31640391048805e-20,"SMIM11"
"ENSG00000273590",108.935361136757,-5.0628330912225,0.544022167616821,-9.30629925137257,1.32363993508668e-20,7.91139589201311e-17,"LOC102723553"
"ENSG00000106560",185.98803934224,-2.63856249613831,0.361621257704948,-7.29648061312578,2.95392387704083e-13,1.32417022598048e-09,"GIMAP2"
"ENSG00000231945",80.6791446922199,-10.7321065900151,1.53068803328063,-7.01129580729369,2.36120911379267e-12,8.46776812388329e-09,"VARS1"
"ENSG00000230995",594.189288370639,23.3715839785341,3.46970909496864,6.73589149373496,1.62927843185773e-11,4.86909859360682e-08,"PPP1R10"
"ENSG00000091009",1498.02041768584,1.00275073512549,0.167627527254763,5.98201710391812,2.20391122914773e-09,4.93979153123099e-06,"RBM27"
"ENSG00000158270",408.141606956457,-1.32673962979792,0.224094349811983,-5.92045105515185,3.21059837311777e-09,6.39658215870831e-06,"COLEC12"
"ENSG00000235107",321.310709135737,-1.42778071270587,0.243184073788061,-5.87119333295735,4.32669343255314e-09,7.75819399391103e-06,"RING1"
"ENSG00000288349",728.426341526935,-1.39262412229174,0.240604569542943,-5.78802025637834,7.12208244731581e-09,1.16096418511654e-05,NA
"ENSG00000161381",121.424393282022,-2.1181031290841,0.387026478710872,-5.47276025180289,4.43079366420098e-08,5.49400075640474e-05,"PLXDC1"
"ENSG00000138079",73.7723154616687,-3.6184812098405,0.672257683590874,-5.38258066536679,7.34254544056333e-08,7.31439901637451e-05,"SLC3A1"
"ENSG00000262826",488.57380486397,-25.682364439703,4.78480831385376,-5.3674803158453,7.98442190702229e-08,7.5351931165693e-05,"INTS3"
"ENSG00000163683",1443.08551691786,-1.08088422000602,0.202359369978515,-5.34140929634629,9.2226759314057e-08,7.87109454005056e-05,"SMIM14"
"ENSG00000267179",24.4733300504121,-4.80278135959006,0.914044207766106,-5.25443005795956,1.48483558119442e-07,0.000110935778359988,NA
"ENSG00000225989",296.134962666745,-24.6458326918639,4.78490420868322,-5.15074735396767,2.59450498645526e-07,0.000186088275648517,"ABCF1"
"ENSG00000256043",23.4065389612459,-8.94583953994766,1.75289509148341,-5.10346545176136,3.33489417256651e-07,0.000229992259262654,"CTSO"
"ENSG00000248769",195.157051827408,-3.03423245484337,0.597374347989611,-5.07928146739929,3.78865048652891e-07,0.000242622470978392,NA
"ENSG00000251634",189.490519574512,-23.8465264547126,4.78510525328209,-4.98349047564969,6.24473889807408e-07,0.00036120778445602,NA
"ENSG00000160321",450.804835687889,-1.32418696385375,0.270330074515928,-4.89840786758534,9.66163219920937e-07,0.00052497796049704,"ZNF208"
"ENSG00000274726",54.5749903621893,-8.04241061524535,1.6523962502801,-4.86711986539675,1.13236355270847e-06,0.000597188554812223,"ARHGEF10"
"ENSG00000205771",85.4785356107382,-2.25180346554922,0.470970039203232,-4.78120321487695,1.74249107514147e-06,0.000892703070524621,"CATSPER2P1"
"ENSG00000234196",159.631992914819,22.8399383413868,4.78500033473342,4.77323651904389,1.81288675637669e-06,0.000902968678571955,"ZBTB12"
